entity,entity_type,count
left,concept,11
right,concept,11
silhouette,concept,5
stable,concept,8
pleural,anatomy,7
pulmonary,anatomy,7
unchanged,concept,6
region,anatomy,6
edema,disorder,6
small,concept,6
surgical,concept,4
cardiomediastinal,anatomy,5
lung,anatomy,5
prior,concept,5
calcified,concept,5
mild,concept,5
enlarged,concept,3
upper,concept,4
clips,devices,4
appearance,concept,4
stranding,concept,4
opacities,disorder,4
wires,devices,4
bilateral,concept,4
effusions,disorder,4
effusion,disorder,4
lungs,anatomy,4
clear,concept,4
chest,anatomy,4
interval,concept,4
increased,concept,3
redemonstration,concept,2
two,concept,3
sternotomy,procedures,2
bones,anatomy,3
consolidation,disorder,3
granuloma,disorder,3
base,anatomy,3
tips,devices,2
view,procedures,3
focal,concept,3
cardiac,anatomy,3
position,concept,2
extremity,anatomy,2
line,devices,2
hemithorax,anatomy,2
retrocardiac,anatomy,2
subtle,concept,2
zone,anatomy,2
significant,concept,2
bony,anatomy,2
abnormalities,disorder,2
absence,disorder,2
breast,anatomy,2
shadow,anatomy,2
mastectomy,procedures,2
mediastinal,anatomy,2
decreased,concept,2
soft,concept,1
persistent,concept,2
slightly,concept,2
greater,concept,2
calcifications,disorder,2
suprahilar,anatomy,2
lymph,anatomy,2
nodes,anatomy,2
post,concept,2
change,disorder,2
degenerative,disorder,2
changes,disorder,2
spine,anatomy,2
views,procedures,2
development,concept,2
lower,concept,2
lobe,anatomy,2
laterally,concept,2
slight,concept,2
increase,concept,2
interstitial,anatomy,2
markings,concept,1
diffusely,concept,2
arteries,anatomy,2
bilaterally,concept,2
lateral,concept,2
unremarkable,concept,2
12 mm,size,2
density,disorder,2
anterior,concept,2
fifth,concept,2
rib,anatomy,2
study,procedures,2
picc,devices,1
picc line,devices,1
compatible,concept,1
internal,concept,1
jugular,anatomy,1
central,concept,1
venous,concept,1
sheath,devices,1
drains,devices,1
volumes,concept,1
examination,procedures,1
bibasilar,concept,1
atelectasis,disorder,1
tissue,anatomy,1
exam,procedures,1
particularly,concept,1
vascular,anatomy,1
congestion,disorder,1
prominence,disorder,1
main,concept,1
artery,anatomy,1
frank,concept,1
1,size,1
cm,size,1
hila,anatomy,1
stent,devices,1
liver,anatomy,1
coil,devices,1
epigrastrium,anatomy,1
remaining,concept,1
tissues,anatomy,1
ap,procedures,1
upright,concept,1
sternal,anatomy,1
significantly,concept,1
changed,concept,1
aorta,anatomy,1
ectatic,disorder,1
tortuous,disorder,1
previous,concept,1
vessels,anatomy,1
prominent,concept,1
suggesting,concept,1
degree,concept,1
costophrenic,anatomy,1
sulci,anatomy,1
sharp,concept,1
pneumothorax,disorder,1
