entity,count
left,11
right,11
silhouette,5
stable,8
unchanged,6
small,6
surgical,4
prior,5
calcified,5
mild,5
enlarged,3
upper,4
appearance,4
stranding,4
bilateral,4
clear,4
interval,4
increased,3
redemonstration,2
two,3
focal,3
position,2
subtle,2
significant,2
decreased,2
soft,1
persistent,2
slightly,2
greater,2
post,2
development,2
lower,2
laterally,2
slight,2
increase,2
markings,1
diffusely,2
bilaterally,2
lateral,2
unremarkable,2
anterior,2
fifth,2
compatible,1
internal,1
central,1
venous,1
volumes,1
bibasilar,1
particularly,1
main,1
frank,1
remaining,1
upright,1
significantly,1
changed,1
previous,1
prominent,1
suggesting,1
degree,1
sharp,1
