source_index,target_index,source_entity,target_entity,type,count
LOCAL_22050817,LOCAL_68466788,stranding,opacities,modify,4
LOCAL_91105018,LOCAL_36103691,clear,lungs,modify,4
LOCAL_13487592,LOCAL_68000152,small,effusions,modify,4
LOCAL_85802763,LOCAL_87154904,cardiomediastinal,silhouette,located_at,5
LOCAL_74664667,LOCAL_87154904,enlarged,silhouette,modify,3
LOCAL_75234838,LOCAL_44800077,edema,pulmonary,located_at,3
LOCAL_38312826,LOCAL_68000152,bilateral,effusions,modify,3
LOCAL_89012284,LOCAL_87324074,calcified,granuloma,modify,3
LOCAL_87324074,LOCAL_50653192,granuloma,base,located_at,3
LOCAL_42378462,LOCAL_60376651,surgical,clips,modify,3
LOCAL_68000152,LOCAL_19338621,effusions,pleural,located_at,3
LOCAL_79642753,LOCAL_63502144,stable,appearance,modify,3
LOCAL_54267693,LOCAL_28454136,right,hemithorax,modify,2
LOCAL_49601568,LOCAL_05505534,diffusely,markings,modify,2
LOCAL_02786371,LOCAL_76518815,significant,abnormalities,modify,2
LOCAL_54267693,LOCAL_52305761,right,breast,modify,2
LOCAL_54267693,LOCAL_53584341,right,suprahilar,modify,2
LOCAL_46691706,LOCAL_87848200,changes,spine,located_at,2
LOCAL_53096480,LOCAL_19143269,two,views,modify,2
LOCAL_40156787,LOCAL_16379912,retrocardiac,region,located_at,2
LOCAL_40049936,LOCAL_23405295,lateral,view,modify,2
LOCAL_55094375,LOCAL_65901014,focal,density,modify,2
LOCAL_37860971,LOCAL_74248687,slightly,greater,modify,2
LOCAL_35983780,LOCAL_68466788,unchanged,opacities,modify,2
LOCAL_35983780,LOCAL_28116606,unchanged,wires,modify,2
LOCAL_35983780,LOCAL_02347820,unchanged,position,modify,2
LOCAL_34890718,LOCAL_28116606,sternotomy,wires,modify,3
LOCAL_34022368,LOCAL_67881809,left,effusion,modify,2
LOCAL_54267693,LOCAL_65353722,right,rib,modify,2
LOCAL_66577251,LOCAL_10025610,consolidation,lobe,located_at,2
LOCAL_56108219,LOCAL_68000152,persistent,effusions,modify,2
LOCAL_74552516,LOCAL_65353722,fifth,rib,modify,2
LOCAL_92952214,LOCAL_10025610,lower,lobe,modify,2
LOCAL_90678510,LOCAL_22050817,subtle,stranding,modify,2
LOCAL_89012284,LOCAL_90633873,calcified,nodes,modify,2
LOCAL_79642753,LOCAL_87154904,stable,silhouette,modify,2
LOCAL_79642753,LOCAL_78604470,stable,bones,modify,2
LOCAL_77617726,LOCAL_75234838,decreased,edema,modify,2
LOCAL_74664667,LOCAL_81551826,enlarged,arteries,modify,2
LOCAL_71213316,LOCAL_66577251,laterally,consolidation,modify,2
LOCAL_60376651,LOCAL_28454136,clips,hemithorax,located_at,2
LOCAL_68466788,LOCAL_37261538,opacities,zone,located_at,2
LOCAL_68466788,LOCAL_16379912,opacities,region,located_at,2
LOCAL_67881809,LOCAL_19338621,effusion,pleural,located_at,2
LOCAL_66997910,LOCAL_64732217,prior,mastectomy,modify,2
LOCAL_34022368,LOCAL_39726383,left,lung,modify,2
LOCAL_65901014,LOCAL_16379912,density,region,located_at,2
LOCAL_65180905,LOCAL_46691706,degenerative,changes,modify,2
LOCAL_34022368,LOCAL_40156787,left,retrocardiac,modify,2
LOCAL_99154067,LOCAL_87154904,cardiac,silhouette,modify,3
LOCAL_34022368,LOCAL_19338621,left,pleural,modify,2
LOCAL_13751433,LOCAL_85427792,upper,extremity,modify,2
LOCAL_24038357,LOCAL_83889212,interval,increase,modify,2
LOCAL_24038357,LOCAL_55687624,interval,development,modify,2
LOCAL_12276136,LOCAL_23405295,tips,view,located_at,2
LOCAL_28989815,LOCAL_53584341,calcifications,suprahilar,located_at,2
LOCAL_13487592,LOCAL_87324074,small,granuloma,modify,2
LOCAL_08000004,LOCAL_75234838,mild,edema,modify,2
LOCAL_08000004,LOCAL_65180905,mild,degenerative,modify,2
LOCAL_31797238,LOCAL_22050817,increased,stranding,modify,2
LOCAL_13751433,LOCAL_39726383,upper,lung,modify,2
LOCAL_21037230,LOCAL_83889212,slight,increase,modify,2
LOCAL_19143269,LOCAL_41803280,views,chest,located_at,2
LOCAL_32343897,LOCAL_05505534,interstitial,markings,located_at,2
LOCAL_34022368,LOCAL_10025610,left,lobe,modify,2
LOCAL_16643514,LOCAL_81551826,bilaterally,arteries,modify,2
LOCAL_15950558,LOCAL_65901014,12 mm,density,modify,2
LOCAL_75817227,LOCAL_12337641,absence,shadow,located_at,1
LOCAL_11778426,LOCAL_88472903,mediastinal,drains,modify,1
LOCAL_77617726,LOCAL_32453146,decreased,atelectasis,modify,1
LOCAL_76518815,LOCAL_26502123,abnormalities,bony,located_at,2
LOCAL_76518815,LOCAL_19338621,abnormalities,pleural,located_at,2
LOCAL_75817227,LOCAL_52305761,absence,breast,located_at,1
LOCAL_17416828,LOCAL_38748987,tortuous,aorta,located_at,1
LOCAL_75234838,LOCAL_49613020,edema,tissue,located_at,1
LOCAL_75392624,LOCAL_75234838,vessels,edema,suggestive_of,1
LOCAL_68421533,LOCAL_85427792,picc line,extremity,located_at,2
LOCAL_12276136,LOCAL_24689054,tips,stent,located_at,1
LOCAL_11553768,LOCAL_32453146,bibasilar,atelectasis,modify,1
LOCAL_74248687,LOCAL_67881809,greater,effusion,modify,1
LOCAL_72857402,LOCAL_51655895,line,jugular,located_at,1
LOCAL_11778426,LOCAL_42378462,mediastinal,surgical,modify,1
LOCAL_81551826,LOCAL_44800077,arteries,pulmonary,located_at,2
LOCAL_79642753,LOCAL_85802763,stable,cardiomediastinal,modify,1
LOCAL_09291764,LOCAL_72857402,redemonstration,line,modify,1
LOCAL_98321926,LOCAL_90633873,lymph,nodes,located_at,1
LOCAL_94527127,LOCAL_01844813,post,change,modify,1
LOCAL_05505534,LOCAL_75234838,markings,edema,suggestive_of,1
LOCAL_07284262,LOCAL_51655895,sheath,jugular,located_at,1
LOCAL_90758525,LOCAL_51655895,internal,jugular,modify,1
