source_entity,target_entity,type,count
stranding,opacities,modify,4
small,effusions,modify,4
clear,lungs,modify,4
surgical,clips,modify,3
stable,appearance,modify,3
edema,pulmonary,located_at,3
bilateral,effusions,modify,3
effusions,pleural,located_at,3
calcified,granuloma,modify,3
granuloma,base,located_at,3
unchanged,position,modify,2
upper,extremity,modify,2
right,hemithorax,modify,2
clips,hemithorax,located_at,2
stable,silhouette,modify,2
cardiomediastinal,silhouette,located_at,2
increased,stranding,modify,2
left,retrocardiac,modify,2
opacities,region,located_at,2
retrocardiac,region,located_at,2
subtle,stranding,modify,2
upper,lung,modify,2
opacities,zone,located_at,2
unchanged,opacities,modify,2
significant,abnormalities,modify,2
right,breast,modify,2
prior,mastectomy,modify,2
decreased,edema,modify,2
persistent,effusions,modify,2
left,effusion,modify,2
slightly,greater,modify,2
cardiomediastinal,silhouette,modify,2
calcifications,suprahilar,located_at,2
right,suprahilar,modify,2
calcified,nodes,modify,2
calcifications,post surgical change,suggestive_of,2
stable,bones,modify,2
mild,degenerative,modify,2
degenerative,changes,modify,2
changes,spine,located_at,2
unchanged,wires,modify,2
two,views,modify,2
views,chest,located_at,2
interval,development,modify,2
left,pleural,modify,2
effusion,pleural,located_at,2
left,lobe,modify,2
lower,lobe,modify,2
consolidation,lobe,located_at,2
laterally,consolidation,modify,2
interval,increase,modify,2
slight,increase,modify,2
interstitial,markings,located_at,2
diffusely,markings,modify,2
mild,edema,modify,2
small,granuloma,modify,2
left,lung,modify,2
enlarged,arteries,modify,2
bilaterally,arteries,modify,2
tips,view,located_at,2
lateral,view,modify,2
12 mm,density,modify,2
focal,density,modify,2
density,region,located_at,2
right,rib,modify,2
fifth,rib,modify,2
enlarged,silhouette,modify,2
left,extremity,modify,1
picc line,extremity,located_at,1
appearance,silhouette,modify,1
right,lung,modify,1
abnormalities,bony,located_at,1
abnormalities,pleural,located_at,1
absence,shadow,located_at,1
mastectomy,absence,suggestive_of,1
left,upper,modify,1
extremity,picc line,located_at,1
silhouette,appearance,located_at,1
right,upper,modify,1
lung,zone,located_at,1
pleural,abnormalities,located_at,1
bony,abnormalities,located_at,1
absence,breast,located_at,1
breast,shadow,located_at,1
compatible,mastectomy,suggestive_of,1
redemonstration,line,modify,1
right,jugular,modify,1
internal,jugular,modify,1
central,venous,modify,1
venous,line,modify,1
line,jugular,located_at,1
sheath,jugular,located_at,1
mediastinal,drains,modify,1
two,drains,modify,1
sternotomy,wires,modify,1
mediastinal,surgical,modify,1
lung,volumes,located_at,1
volumes,increased,modify,1
increased,volumes,modify,1
prior,examination,modify,1
decreased,atelectasis,modify,1
bibasilar,atelectasis,modify,1
soft,tissue,modify,1
edema,tissue,located_at,1
greater,effusion,modify,1
prior,exam,modify,1
stable,cardiomediastinal,modify,1
suprahilar,region,located_at,1
lymph,nodes,located_at,1
post,change,modify,1
surgical,change,modify,1
calcifications,lymph nodes,suggestive_of,1
sternotomy,wires,located_at,1
silhouette,cardiomediastinal,located_at,1
calcifications,region,located_at,1
wires,sternotomy,located_at,1
consolidation,effusion,suggestive_of,1
increase,markings,modify,1
markings,edema,suggestive_of,1
granuloma,lung,located_at,1
arteries,pulmonary,located_at,1
particularly,consolidation,modify,1
increase,interstitial,located_at,1
increase,edema,suggestive_of,1
lung,base,located_at,1
appearance,arteries,located_at,1
pulmonary,arteries,located_at,1
congestion,pulmonary,located_at,1
congestion,vascular,located_at,1
prominence,artery,located_at,1
main,artery,modify,1
bilateral,pleural,modify,1
1,cm,modify,1
1 cm,granuloma,modify,1
left,base,modify,1
focal,consolidation,modify,1
cardiomediastinal silhouette,hila,located_at,1
unremarkable,cardiomediastinal silhouette,modify,1
unremarkable,hila,modify,1
stent,liver,located_at,1
tips,stent,located_at,1
coil,epigrastrium,located_at,1
remaining,bones,modify,1
remaining,soft,modify,1
remaining,tissues,modify,1
unremarkable,bones,modify,1
unremarkable,soft tissues,modify,1
anterior,rib,modify,1
silhouette,cardiac,located_at,1
anterior,region,modify,1
enlarged,silhouette,disorder_notpresent,1
cardiac,silhouette,modify,1
ap,view,modify,1
upright,view,modify,1
view,chest,located_at,1
wires,sternal,located_at,1
clips,mediastinal,located_at,1
cardiac,silhouette,located_at,1
significantly,changed,modify,1
prior,study,modify,1
ectatic,aorta,located_at,1
tortuous,aorta,located_at,1
aorta,chest,located_at,1
previous,study,modify,1
pulmonary,vessels,located_at,1
prominent,vessels,modify,1
mild,degree,modify,1
degree,edema,suggesting,1
vessels,edema,suggestive_of,1
costophrenic,sulci,modify,1
sharp,sulci,modify,1
